Station, Calculated Magnitude, NEIC Magnitude, Event Distance, Event Lat, Event Lon 
R5BDD,3.68244017592,3.1,190.325018498,36.9137,-97.6539
R5BDD,4.25744544665,2.6,183.531945094,36.4618,-98.7645
R5BDD,2.98339281998,2.8,183.325981271,36.4558,-98.7695
R5BDD,2.17069488907,2.4,23.9150453681,35.2227,-97.7026
R5BDD,2.93625471995,2.5,183.628937707,36.4756,-98.7463
R5BDD,2.74035309826,2.9,51.6615010099,35.6717,-97.4008
R5BDD,2.71341385627,2.4,51.6356586895,35.6713,-97.398
R5BDD,2.59968741145,2.8,81.9979598233,35.9455,-97.3998
R5BDD,3.02753620008,2.5,188.86268352,36.9084,-97.5082
R5BDD,2.62862664069,2.6,140.362796919,36.2797,-98.2636
R5BDD,3.61405739244,2.7,183.613608945,36.4772,-98.7437
R5BDD,3.77324845146,2.8,172.513303165,36.6269,-98.2199
R5BDD,3.82245703694,2.6,183.325257977,36.4538,-98.7723
R5BDD,3.83593449068,3.6,183.086027796,36.4583,-98.7619
R5BDD,3.65390985385,2.6,186.533292246,36.4572,-98.8212
R5BDD,3.27782794099,3.5,183.775521192,36.4575,-98.7747
R5BDD,2.52114921966,2.8,114.181706229,36.2328,-97.5446
R5BDD,2.43872003282,2.6,100.345826527,35.8653,-96.6816
R5BDD,2.74586308599,2.9,100.184234404,35.8653,-96.6842
R5BDD,3.78370751614,2.5,195.979954653,36.6925,-98.6162
R5BDD,2.64551706742,3.0,104.478554584,35.9915,-96.8025
R5BDD,3.80633966824,2.5,100.624474623,35.8471,-96.6544
R5BDD,3.67392727924,2.6,204.251080251,36.4119,-99.1495
R5BDD,3.28684942816,2.6,132.116651283,36.3757,-97.7217
R5BDD,3.74758548087,2.9,188.088210098,36.6992,-98.4303
R5BDD,3.35100400569,2.7,120.483543046,36.2915,-97.5127
R5BDD,3.66006368885,2.8,201.82468518,36.5328,-98.971
R5BDD,3.80501190403,2.5,166.230180995,36.6187,-98.0579
R5BDD,3.34735180513,2.5,185.067842658,36.457,-98.7971
R5BDD,4.09318324669,2.5,184.868865627,36.4519,-98.8008
R5BDD,3.53090323952,3.4,185.211171255,36.4583,-98.7977
R5BDD,3.60853920512,3.1,185.212328083,36.4573,-98.7991
R5BDD,3.31185415362,2.5,120.249898439,36.2895,-97.5102
R5BDD,3.87689057784,2.5,184.5860779,36.4516,-98.7965
R5BDD,2.43188439965,2.4,104.509457414,35.9908,-96.8006
R5BDD,3.26583172199,2.7,183.560864365,36.442,-98.7926
R5BDD,3.19805047219,3.0,189.453350706,36.7402,-98.3656
R5BDD,2.84255950433,2.4,172.875338149,36.2089,-98.9039
R5BDD,3.61056273813,3.0,189.568626478,36.7404,-98.368
R5BDD,3.69295555207,2.9,173.811261983,36.2062,-98.9201
R5BDD,2.73844971167,2.7,104.304229955,36.1361,-97.6178
R5BDD,2.5813898919,2.5,104.916912452,35.9926,-96.7958
R5BDD,3.25856132493,2.7,201.89962818,36.5378,-98.9657
R5BDD,2.88169465559,3.3,104.431076198,35.9918,-96.804
R5BDD,3.11106694798,2.8,166.731042668,36.6964,-97.6874
R5BDD,2.83947893221,3.1,104.519515753,35.9914,-96.8015
R5BDD,2.95154170911,2.8,120.366372915,36.2908,-97.5041
R5BDD,2.90596835438,3.0,160.837370869,36.641,-97.7026
R5BDD,2.6427411508,2.7,120.518213806,36.2919,-97.5107
R5BDD,3.35993693929,2.5,119.716962439,36.2848,-97.5076
R5BDD,3.36239790953,3.0,119.979751413,36.2872,-97.5069
R5BDD,3.22293912603,2.5,171.233222011,36.5024,-98.4714
R5BDD,3.62461857146,2.5,154.194455069,36.473,-98.1451
R5BDD,3.01510943155,2.4,100.63021346,35.8686,-96.6813
R5BDD,3.67158070809,2.7,143.565992696,36.4121,-96.8616
R5BDD,3.18704875559,2.6,107.590793538,36.123,-97.8313
R5BDD,3.0912389615,2.9,56.0288739065,35.6638,-97.177
R5BDD,3.27087647685,3.7,55.5970303892,35.6618,-97.183
R5BDD,2.95685287971,2.9,183.339316604,36.4628,-98.7598
R5BDD,3.30063249278,2.4,219.068126186,37.1762,-97.6183
R5BDD,3.69626224623,2.7,105.722037554,36.1058,-97.829
R5BDD,3.70902863606,3.0,196.015215353,36.9357,-97.8898
R5BDD,3.71085208176,2.5,195.995659467,36.9361,-97.8864
